state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
Arizona,Female,Master,509,078.13,93018,63,1/0/00,Personal Auto,Four-Door Car,135.382194
Oregon,Male,Bachelor,736,618.83,70014,62,1/0/00,Corporate Auto,Four-Door Car,17.742954
Oregon,Female,College,243,687.51,48875,61,1/0/00,Personal Auto,Two-Door Car,1.838367
California,Male,Bachelor,885,268.87,67969,74,1/0/00,Personal Auto,Four-Door Car,197.776009
Oregon,Female,College,2,387,547.68,51236,108,1/0/00,Corporate Auto,SUV,612.102262
Oregon,Female,Doctorate,560,049.65,68665,69,1/0/00,Personal Auto,Two-Door Car,331.2
California,Male,College,463,654.65,26802,66,1/1/00,Corporate Auto,Two-Door Car,316.8
Nevada,Male,College,757,334.51,51236,110,1/0/00,Corporate Auto,Four-Door Car,1193.036154
California,Male,College,1,469,663.55,45345,125,1/0/00,Personal Auto,SUV,600
Washington,Male,Bachelor,897,214.03,89689,74,1/0/00,Personal Auto,Four-Door Car,136.829537
California,Female,Bachelor,772,484.01,32051,193,1/1/00,Personal Auto,SUV,926.4
Oregon,Male,Master,594,667.07,81139,74,1/0/00,Special Auto,Four-Door Car,392.6364
Oregon,Female,Master,800,054.51,63834,100,1/1/00,Personal Auto,Sports Car,215.226476
Arizona,Male,Bachelor,645,756.10,37548,81,1/0/00,Special Auto,Four-Door Car,160.598662
Arizona,Female,College,728,144.01,51236,69,1/3/00,Personal Auto,Four-Door Car,371.803029
California,Male,College,259,243.78,72421,65,1/0/00,Personal Auto,Four-Door Car,312
Nevada,Male,Master,467,842.34,83102,116,1/0/00,Corporate Auto,Four-Door Car,443.670399
Oregon,Male,College,1,386,992.71,28432,118,1/0/00,Personal Auto,SUV,612.300581
Nevada,Female,Master,871,777.78,83707,108,1/0/00,Corporate Auto,Four-Door Car,290.391526
California,Female,College,523,398.68,63259,65,1/0/00,Corporate Auto,Four-Door Car,316.795337
Nevada,Female,College,476,418.97,51236,67,1/0/00,Personal Auto,Four-Door Car,405.527937
Oregon,Female,College,247,246.92,63860,62,1/0/00,Personal Auto,Four-Door Car,208.598246
Washington,Male,Bachelor,281,369.26,43836,73,1/0/00,Personal Auto,Four-Door Car,138.130879
California,Female,College,550,505.70,86132,68,1/0/00,Personal Auto,Two-Door Car,301.437365
Oregon,Female,Bachelor,260,620.85,28519,66,1/0/00,Personal Auto,Two-Door Car,456.473115
Arizona,Female,College,1,048,194.38,39102,88,1/0/00,Personal Auto,Four-Door Car,152.338562
California,Female,Bachelor,325,676.64,51236,89,1/0/00,Personal Auto,Four-Door Car,491.755368
California,Female,College,3,047,578.05,97298,128,1/0/00,Personal Auto,Sports Car,48.517439
Nevada,Male,College,636,490.22,41986,84,1/2/00,Personal Auto,Two-Door Car,430.375049
Arizona,Male,College,946,850.93,51236,88,1/0/00,Personal Auto,Two-Door Car,633.6
Oregon,Female,College,563,145.19,17291,73,1/0/00,Personal Auto,Four-Door Car,350.4
California,Male,Bachelor,778,099.93,51236,74,1/0/00,Personal Auto,Four-Door Car,246.489123
California,Male,College,981,652.83,37256,62,1/0/00,Personal Auto,Four-Door Car,128.969729
Oregon,Male,College,751,913.36,96306,95,1/1/00,Corporate Auto,Four-Door Car,185.355353
California,Female,College,277,283.92,37038,71,1/1/00,Corporate Auto,Four-Door Car,9.071305
Oregon,Male,College,403,750.18,90760,103,1/2/00,Special Auto,SUV,133.475315
Washington,Male,Master,419,196.61,77048,103,1/0/00,Personal Auto,SUV,141.199465
Oregon,Female,College,267,686.79,54480,67,1/0/00,Personal Auto,Four-Door Car,321.6
California,Male,College,252,395.96,16244,68,1/0/00,Personal Auto,Two-Door Car,623.223617
California,Female,College,698,840.16,22436,89,1/0/00,Special Auto,Four-Door Car,427.2
Washington,Female,College,874,205.78,71592,72,1/0/00,Personal Auto,Four-Door Car,141.725051
Arizona,Male,Master,267,331.96,28728,67,1/0/00,Personal Auto,Four-Door Car,321.6
Arizona,Male,College,1,215,732.99,57449,103,1/0/00,Personal Auto,Four-Door Car,494.4
California,Female,Doctorate,295,776.40,83318,73,1/0/00,Personal Auto,Two-Door Car,211.336937
Washington,Male,Bachelor,717,390.94,75217,61,1/1/00,Personal Auto,Four-Door Car,147.080303
Nevada,Male,Bachelor,309,953.80,51236,102,1/5/00,Corporate Auto,SUV,862.762957
Oregon,Male,Bachelor,841,568.46,55308,107,1/0/00,Corporate Auto,SUV,513.6
Oregon,Female,College,2,684,312.45,36068,97,1/0/00,Personal Auto,Two-Door Car,113.367765
Oregon,Male,Bachelor,1,305,717.07,48804,112,1/1/00,Corporate Auto,Four-Door Car,537.6
Oregon,Male,College,959,995.02,51236,131,1/0/00,Personal Auto,SUV,943.2
Oregon,Male,Bachelor,853,510.89,55790,111,1/0/00,Personal Auto,SUV,117.672722
Arizona,Female,Bachelor,829,348.19,70258,69,1/0/00,Personal Auto,Four-Door Car,225.145949
Oregon,Female,Bachelor,684,615.03,51236,95,1/0/00,Personal Auto,Two-Door Car,456
Oregon,Female,Bachelor,663,685.98,47274,83,1/1/00,Corporate Auto,Four-Door Car,182.432565
Washington,Female,College,560,908.25,44705,71,1/0/00,Personal Auto,Two-Door Car,148.173152
Arizona,Male,College,507,732.09,51236,73,1/0/00,Personal Auto,Two-Door Car,525.6
Washington,Female,Master,527,562.70,70446,65,1/0/00,Personal Auto,Four-Door Car,155.570802
Washington,Female,College,251,459.20,43860,65,1/0/00,Personal Auto,Four-Door Car,156.124914
Oregon,Female,Bachelor,343,525.01,64348,86,1/0/00,Personal Auto,Two-Door Car,212.391975
Oregon,Male,Bachelor,662,461.18,51236,62,1/0/00,Corporate Auto,Two-Door Car,297.6
California,Male,Master,575,744.23,88997,72,1/0/00,Special Auto,Four-Door Car,174.041566
Washington,Female,College,251,459.20,43860,65,1/0/00,Corporate Auto,Four-Door Car,156.124914
California,Female,College,288,645.16,10312,78,1/0/00,Corporate Auto,Four-Door Car,486.278557
California,Female,College,534,143.88,51236,72,1/1/00,Personal Auto,Four-Door Car,345.6
Arizona,Female,College,416,001.81,96263,103,1/0/00,Personal Auto,SUV,1.924709
California,Female,College,284,624.54,28919,72,1/0/00,Corporate Auto,Four-Door Car,518.4
Oregon,Female,College,477,025.66,51236,68,1/1/00,Personal Auto,Two-Door Car,326.4
Oregon,Male,Bachelor,505,961.62,41869,64,1/0/00,Personal Auto,Two-Door Car,262.12205
Arizona,Female,College,909,574.46,51236,128,1/0/00,Personal Auto,SUV,921.6
California,Female,College,268,886.40,32808,68,1/1/00,Personal Auto,Four-Door Car,541.695658
California,Female,Bachelor,827,763.76,79780,68,1/0/00,Personal Auto,Four-Door Car,326.4
Oregon,Female,College,905,793.53,91025,112,1/0/00,Personal Auto,SUV,327.682669
California,Female,College,380,175.04,33043,95,1/0/00,Personal Auto,Two-Door Car,456
Arizona,Male,College,933,934.16,69442,118,1/3/00,Personal Auto,Four-Door Car,1265.570302
Oregon,Male,College,252,012.32,51236,70,1/0/00,Corporate Auto,Four-Door Car,63.043197
Arizona,Female,College,498,409.53,51236,70,1/0/00,Corporate Auto,Four-Door Car,336
Oregon,Female,Bachelor,259,574.80,47234,65,1/0/00,Personal Auto,Four-Door Car,15.631363
Oregon,Male,College,743,769.33,86863,92,1/0/00,Personal Auto,Four-Door Car,441.6
Oregon,Male,Bachelor,1,453,678.76,25805,66,1/2/00,Personal Auto,Four-Door Car,375.866091
Nevada,Male,Bachelor,591,330.59,43676,76,1/0/00,Personal Auto,Four-Door Car,364.8
Arizona,Male,College,277,166.30,59855,74,1/4/00,Personal Auto,Two-Door Car,355.2
Arizona,Male,Master,2,919,436.64,35296,126,1/0/00,Personal Auto,SUV,452.616872
Oregon,Female,Master,988,038.58,36576,125,1/1/00,Personal Auto,SUV,113.450122
California,Female,College,1,511,440.24,28513,100,1/1/00,Corporate Auto,SUV,480
Oregon,Male,Bachelor,575,991.08,85448,72,1/0/00,Special Auto,Four-Door Car,16.03451
Oregon,Female,College,849,516.42,23791,110,1/3/00,Personal Auto,Two-Door Car,615.27228
California,Female,Bachelor,438,118.42,20597,112,1/0/00,Personal Auto,Four-Door Car,615.256301
Arizona,Female,College,699,782.74,56940,87,1/0/00,Personal Auto,Four-Door Car,512.66245
Oregon,Male,Bachelor,1,143,058.85,93210,71,1/0/00,Personal Auto,Two-Door Car,74.523935
Oregon,Female,Bachelor,748,248.61,48992,94,1/1/00,Personal Auto,Four-Door Car,426.072946
Arizona,Female,Master,859,691.66,53736,71,1/0/00,Personal Auto,Two-Door Car,169.287785
Arizona,Male,College,785,496.08,25378,66,1/1/00,Personal Auto,Four-Door Car,419.464143
Oregon,Female,Bachelor,258,240.85,76731,64,1/0/00,Personal Auto,Four-Door Car,201.455005
Washington,Male,Master,907,576.82,37722,116,1/0/00,Corporate Auto,Sports Car,158.077504
California,Female,Bachelor,411,858.86,69379,103,1/0/00,Personal Auto,Two-Door Car,494.4
Oregon,Male,College,1,215,732.99,57449,103,1/0/00,Personal Auto,Four-Door Car,494.4
Arizona,Male,Bachelor,515,281.96,51236,68,1/0/00,Corporate Auto,Four-Door Car,326.4
Nevada,Male,College,651,297.65,51236,93,1/0/00,Personal Auto,Two-Door Car,669.6
Arizona,Female,Bachelor,2,778,969.24,33806,89,1/0/00,Corporate Auto,Four-Door Car,395.729716
Washington,Female,College,266,727.00,94041,66,1/0/00,Personal Auto,Four-Door Car,159.756733
Oregon,Female,College,1,092,840.71,74965,90,1/0/00,Personal Auto,Four-Door Car,58.557552
Arizona,Female,College,761,538.13,34095,63,1/0/00,Personal Auto,Two-Door Car,302.4
California,Female,College,200,435.07,51236,66,1/4/00,Personal Auto,Four-Door Car,316.8
California,Male,College,243,468.12,96045,61,1/0/00,Corporate Auto,Four-Door Car,8.582971
Nevada,Female,Bachelor,1,419,536.03,86355,118,1/0/00,Personal Auto,Sports Car,285.418473
California,Female,College,942,768.49,27824,118,1/0/00,Personal Auto,SUV,566.4
California,Male,College,1,198,242.09,42995,101,1/0/00,Personal Auto,SUV,410.508316
Oregon,Female,College,310,278.95,21235,79,1/0/00,Personal Auto,Two-Door Car,244.23135
California,Male,College,422,263.12,74585,106,1/0/00,Personal Auto,SUV,218.598065
Oregon,Male,Bachelor,402,381.44,41833,103,1/0/00,Personal Auto,Four-Door Car,643.826716
California,Female,College,529,715.18,23908,70,1/0/00,Personal Auto,Four-Door Car,336
Arizona,Male,Bachelor,441,620.62,61953,113,1/0/00,Personal Auto,SUV,497.047297
California,Male,Bachelor,463,903.52,51236,142,1/0/00,Corporate Auto,SUV,1022.4
Nevada,Male,Bachelor,486,354.46,51236,137,1/0/00,Personal Auto,SUV,657.6
Arizona,Female,Bachelor,2,583,090.98,73760,107,1/1/00,Personal Auto,Sports Car,230.245772
Oregon,Female,College,297,431.49,23333,74,1/0/00,Corporate Auto,Four-Door Car,5.622751
California,Male,College,206,445.88,51236,61,1/0/00,Personal Auto,Four-Door Car,292.8
Arizona,Female,College,1,006,460.83,20440,128,1/2/00,Corporate Auto,Sports Car,614.4
Washington,Male,Master,803,240.19,27658,68,1/0/00,Personal Auto,Four-Door Car,160.07526
California,Male,College,548,921.41,50943,139,1/0/00,Special Auto,SUV,667.2
California,Male,Bachelor,261,275.67,19003,71,1/0/00,Personal Auto,Two-Door Car,34.651305
California,Male,College,857,346.39,46703,108,1/0/00,Personal Auto,Four-Door Car,678.100487
California,Male,Bachelor,2,412,750.40,14072,71,1/0/00,Personal Auto,Four-Door Car,511.2
Oregon,Male,College,855,038.66,21733,73,1/0/00,Corporate Auto,Four-Door Car,525.6
Arizona,Male,Bachelor,230,864.80,20811,61,1/0/00,Personal Auto,Four-Door Car,292.8
Arizona,Female,College,425,462.07,11904,61,1/2/00,Personal Auto,Two-Door Car,292.8
Oregon,Female,College,898,285.04,43490,114,1/4/00,Corporate Auto,SUV,174.588413
California,Male,College,786,816.60,57340,67,1/0/00,Corporate Auto,Four-Door Car,159.391681
California,Male,College,770,424.87,49088,97,1/0/00,Corporate Auto,Four-Door Car,698.4
Nevada,Male,Master,1,055,217.00,47761,131,1/0/00,Personal Auto,SUV,232.711071
Washington,Female,College,1,604,510.95,51236,65,1/0/00,Personal Auto,Two-Door Car,163.046956
Arizona,Male,Bachelor,873,783.75,61281,110,1/0/00,Personal Auto,SUV,79.865605
Nevada,Male,Bachelor,545,489.07,51236,82,1/1/00,Corporate Auto,Two-Door Car,393.6
Arizona,Male,Bachelor,770,528.33,25290,66,1/0/00,Personal Auto,Four-Door Car,382.085897
Arizona,Female,College,703,926.24,24239,88,1/0/00,Personal Auto,Four-Door Car,48.348319
California,Male,Bachelor,883,808.56,82664,114,1/3/00,Personal Auto,SUV,133.425609
Arizona,Male,Bachelor,873,352.73,83210,110,1/0/00,Personal Auto,Sports Car,528
Oregon,Female,Bachelor,959,747.48,38736,81,1/0/00,Personal Auto,Two-Door Car,561.414794
California,Male,College,450,666.02,51236,66,1/0/00,Personal Auto,Four-Door Car,316.8
Oregon,Male,College,1,785,797.23,55437,64,1/1/00,Personal Auto,Four-Door Car,445.287788
Washington,Male,Bachelor,249,780.82,68041,6464,1/0/00,Personal Auto,Two-Door Car,165.570243
Oregon,Male,Master,542,613.62,51236,71,1/0/00,Corporate Auto,Four-Door Car,407.99684
California,Female,College,799,814.38,29066,100,1/0/00,Personal Auto,SUV,844.229478
Nevada,Male,Bachelor,289,762.07,54337,72,1/0/00,Personal Auto,Four-Door Car,345.6
Oregon,Female,College,1,159,950.22,67616,96,1/0/00,Personal Auto,Four-Door Car,340.306584
California,Female,Bachelor,1,514,793.06,41082,63,1/0/00,Personal Auto,Two-Door Car,106.647493
Washington,Female,College,543,576.78,51236,10202,1/0/00,Personal Auto,Four-Door Car,626.116259
Nevada,Female,Master,272,535.64,36650,69,1/1/00,Personal Auto,Four-Door Car,56.60333
Oregon,Female,College,1,329,771.23,50631,112,1/4/00,Special Auto,SUV,784.65781
California,Male,College,992,704.97,19592,92,1/0/00,Personal Auto,Four-Door Car,441.6
Washington,Female,College,1,777,154.90,51236,114,1/0/00,Personal Auto,Two-Door Car,547.2
Arizona,Female,College,1,826,927.02,55761,115,1/0/00,Personal Auto,Sports Car,86.27772
California,Female,College,272,221.07,17576,71,1/0/00,Special Auto,Four-Door Car,398.502948
California,Female,Bachelor,708,321.24,41449,89,1/0/00,Personal Auto,Four-Door Car,63.516572
California,Female,College,559,538.99,74454,71,1/0/00,Personal Auto,Four-Door Car,340.8
Nevada,Female,College,588,950.91,62007,73,1/0/00,Personal Auto,Four-Door Car,120.015609
Arizona,Male,College,1,577,139.34,21921,206,1/0/00,Corporate Auto,Luxury SUV,1254.137899
Arizona,Female,Bachelor,528,817.33,42621,66,1/0/00,Personal Auto,Four-Door Car,316.8
Oregon,Male,College,2,758,055.40,51236,87,1/1/00,Personal Auto,Four-Door Car,417.6
Washington,Male,College,777,853.23,63786,196,1/0/00,Corporate Auto,Luxury SUV,798.002689
California,Female,College,734,186.13,51236,104,1/3/00,Personal Auto,Sports Car,82.041684
California,Female,College,791,919.70,82877,99,1/1/00,Personal Auto,Two-Door Car,22.819088
Arizona,Male,College,216,387.02,51236,63,1/0/00,Corporate Auto,Two-Door Car,302.4
Nevada,Male,College,978,780.88,10475,88,1/1/00,Personal Auto,Two-Door Car,422.4
Oregon,Female,College,520,764.08,21952,66,1/0/00,Personal Auto,Four-Door Car,316.8
Oregon,Female,Bachelor,2,114,727.72,49721,132,1/0/00,Corporate Auto,Sports Car,639.971388
California,Male,College,1,228,076.66,88340,102,1/0/00,Personal Auto,Two-Door Car,489.6
California,Female,College,244,139.42,51236,65,1/0/00,Personal Auto,Four-Door Car,312
Oregon,Male,Bachelor,653,556.06,51236,65,1/0/00,Corporate Auto,Four-Door Car,468
Washington,Female,College,920,659.83,24589,82,1/0/00,Personal Auto,Two-Door Car,511.497882
Nevada,Female,Bachelor,483,820.90,73769,61,1/2/00,Personal Auto,Four-Door Car,239.540223
California,Female,College,462,554.81,66670,114,1/0/00,Personal Auto,SUV,518.180364
Arizona,Male,Bachelor,1,404,210.30,88854,118,1/0/00,Personal Auto,Two-Door Car,715.252366
Oregon,Male,Bachelor,754,661.35,31266,193,1/0/00,Corporate Auto,Luxury Car,926.4
California,Female,College,251,459.20,43860,65,1/0/00,Personal Auto,Four-Door Car,156.124914
California,Male,Bachelor,517,035.84,89284,133,1/2/00,Corporate Auto,SUV,402.070719
Oregon,Male,College,1,391,737.72,67267,89,1/0/00,Corporate Auto,Four-Door Car,94.814032
California,Female,College,1,131,813.08,79270,95,1/3/00,Personal Auto,Four-Door Car,456
Oregon,Male,Bachelor,427,636.36,36692,109,1/1/00,Personal Auto,Four-Door Car,523.2
Oregon,Female,College,432,224.03,51236,119,1/0/00,Personal Auto,SUV,571.2
California,Female,College,800,230.83,51236,107,1/0/00,Corporate Auto,SUV,513.6
Nevada,Male,College,388,545.64,51236,105,1/0/00,Corporate Auto,Four-Door Car,504
Oregon,Male,College,447,177.82,51236,135,1/0/00,Personal Auto,SUV,972
California,Female,College,849,635.28,44624,71,1/1/00,Special Auto,Four-Door Car,73.883044
Arizona,Female,College,2,250,088.35,51236,71,1/0/00,Corporate Auto,Four-Door Car,340.8
Nevada,Female,Master,1,630,196.76,19614,85,1/0/00,Personal Auto,Two-Door Car,574.024018
Oregon,Female,College,231,973.59,51236,64,1/0/00,Personal Auto,Four-Door Car,632.715382
Arizona,Male,College,871,704.98,83846,74,1/3/00,Special Auto,Four-Door Car,355.2
Washington,Male,College,286,011.17,51159,72,1/0/00,Personal Auto,Four-Door Car,4.238626
California,Male,College,245,340.83,83772,62,1/0/00,Personal Auto,Two-Door Car,42.248087
Arizona,Male,College,598,977.39,66839,154,1/0/00,Personal Auto,Sports Car,739.2
Arizona,Female,College,2,498,022.55,88440,70,1/0/00,Personal Auto,Two-Door Car,27.145151
Arizona,Female,Master,748,263.95,25666,63,1/2/00,Personal Auto,Four-Door Car,270.002766
Oregon,Female,College,245,757.60,52926,61,1/0/00,Personal Auto,Four-Door Car,292.8
Nevada,Female,Bachelor,237,974.12,51236,67,1/0/00,Personal Auto,Four-Door Car,494.946438
Washington,Female,Bachelor,828,696.44,40001,70,1/0/00,Personal Auto,Four-Door Car,142.567008
California,Male,College,239,391.54,51236,70,1/0/00,Personal Auto,Four-Door Car,425.266308
Oregon,Male,College,465,715.95,18024,65,1/0/00,Personal Auto,Two-Door Car,312
California,Female,College,899,704.02,54230,112,1/0/00,Personal Auto,Two-Door Car,537.6
Oregon,Female,Bachelor,280,391.67,23220,74,1/0/00,Personal Auto,Four-Door Car,251.334247
California,Female,College,864,650.41,64125,108,1/0/00,Personal Auto,SUV,369.818708
Oregon,Female,College,742,587.06,58042,62,1/0/00,Corporate Auto,Four-Door Car,161.419528
Oregon,Female,College,452,873.74,90034,112,1/0/00,Corporate Auto,SUV,537.6
Nevada,Male,College,222,707.28,27972,61,1/0/00,Special Auto,Four-Door Car,292.8
California,Female,College,729,294.88,51236,65,1/0/00,Personal Auto,Four-Door Car,312
Arizona,Male,Bachelor,318,435.52,50989,80,1/0/00,Corporate Auto,Four-Door Car,255.999709
Arizona,Female,Bachelor,1,131,520.37,11885,101,1/0/00,Special Auto,Four-Door Car,484.8
California,Female,Bachelor,253,070.51,89451,63,1/0/00,Special Auto,Four-Door Car,61.769564
Oregon,Male,Bachelor,1,836,155.53,51236,182,1/0/00,Personal Auto,Luxury Car,1310.4
Washington,Male,Bachelor,864,153.00,78904,109,1/0/00,Personal Auto,SUV,250.001424
Arizona,Male,Doctorate,327,853.19,70247,83,1/1/00,Personal Auto,Four-Door Car,141.799422
Arizona,Male,College,527,198.21,32653,67,1/0/00,Personal Auto,Two-Door Car,321.6
Washington,Male,College,376,363.77,93595,97,1/4/00,Special Auto,Four-Door Car,49.797016
California,Male,Master,1,395,556.96,90279,115,1/0/00,Personal Auto,SUV,372.175592
Oregon,Female,College,500,152.75,51236,72,1/0/00,Personal Auto,Four-Door Car,542.14385
California,Male,Bachelor,708,283.04,53310,189,1/3/00,Personal Auto,Luxury Car,1360.8
California,Male,College,761,948.28,51236,105,1/0/00,Personal Auto,Four-Door Car,504
Oregon,Female,Bachelor,1,255,088.20,22234,160,1/0/00,Personal Auto,SUV,768
Washington,Female,College,3,219,660.04,91375,99,1/0/00,Personal Auto,Two-Door Car,72.632934
Nevada,Female,College,679,377.41,22250,86,1/0/00,Personal Auto,Two-Door Car,720.601429
Oregon,Male,Bachelor,527,231.97,51236,80,1/0/00,Personal Auto,Four-Door Car,576
Oregon,Female,Doctorate,626,534.33,51236,84,1/1/00,Personal Auto,Four-Door Car,481.025786
California,Female,College,854,758.61,51179,71,1/0/00,Corporate Auto,Four-Door Car,466.176731
California,Male,Bachelor,278,742.37,38667,72,1/0/00,Personal Auto,Four-Door Car,159.266473
California,Female,Master,462,680.11,79487,114,1/0/00,Corporate Auto,SUV,547.2
Nevada,Female,Doctorate,866,336.40,67763,107,1/2/00,Personal Auto,Four-Door Car,41.283167
Nevada,Male,College,387,222.22,51236,62,1/2/00,Corporate Auto,Four-Door Car,503.808329
Oregon,Female,College,517,081.15,51236,71,1/0/00,Corporate Auto,Four-Door Car,859.599411
California,Female,Master,896,028.02,71943,112,1/0/00,Corporate Auto,SUV,305.653785
Oregon,Female,College,547,183.43,53526,68,1/0/00,Personal Auto,Four-Door Car,278.902846
Oregon,Male,College,3,493,100.17,35005,295,1/0/00,Personal Auto,Luxury Car,1416
California,Male,College,262,039.23,24721,67,1/0/00,Personal Auto,Four-Door Car,139.963594
Washington,Male,College,1,906,949.95,51236,102,1/2/00,Personal Auto,Four-Door Car,734.4
Arizona,Male,Master,575,744.23,88997,72,1/0/00,Personal Auto,Four-Door Car,174.041566
Arizona,Male,Master,4,022,401.36,48587,111,1/0/00,Personal Auto,SUV,532.8
Arizona,Female,College,270,148.83,76310,67,1/0/00,Personal Auto,Two-Door Car,321.6
California,Male,Bachelor,371,243.05,73205,92,1/0/00,Personal Auto,Four-Door Car,37.299865
Oregon,Female,College,2,185,084.00,51056,78,1/0/00,Personal Auto,Four-Door Car,95.816516
California,Male,College,784,016.58,58414,210,1/2/00,Personal Auto,Luxury SUV,1008
California,Female,Bachelor,823,703.79,23940,107,1/0/00,Personal Auto,SUV,513.6
California,Female,College,224,347.39,51236,62,1/0/00,Personal Auto,Four-Door Car,446.4
California,Male,Bachelor,843,446.41,44216,71,1/0/00,Personal Auto,Four-Door Car,72.205362
California,Male,College,222,707.28,27972,61,1/0/00,Corporate Auto,Four-Door Car,292.8
Arizona,Female,College,517,002.60,51236,69,1/0/00,Personal Auto,Four-Door Car,331.2
California,Female,Master,264,144.61,29305,66,1/0/00,Personal Auto,Four-Door Car,475.2
California,Female,College,279,068.30,53882,69,1/0/00,Personal Auto,Four-Door Car,331.2
Oregon,Male,College,274,512.98,91757,69,1/1/00,Personal Auto,Four-Door Car,331.2
California,Female,Bachelor,757,953.27,33906,64,1/0/00,Personal Auto,Two-Door Car,401.592109
Oregon,Male,Bachelor,1,097,878.03,68158,139,1/1/00,Personal Auto,SUV,253.183568
California,Male,College,825,506.01,51236,134,1/3/00,Personal Auto,SUV,643.2
Oregon,Male,College,474,773.46,42165,123,1/0/00,Corporate Auto,SUV,799.673766
Washington,Male,College,354,090.43,51236,101,1/0/00,Personal Auto,SUV,727.2
California,Male,Bachelor,258,218.53,68074,65,1/0/00,Personal Auto,Four-Door Car,27.987867
Washington,Female,College,1,166,509.78,84978,35353,1/1/00,Corporate Auto,Four-Door Car,166.77296
California,Female,Master,739,628.37,71135,92,1/1/00,Personal Auto,Four-Door Car,270.563995
California,Female,College,433,079.98,51236,61,1/0/00,Personal Auto,Two-Door Car,292.8
Oregon,Male,Master,907,576.82,37722,116,1/0/00,Personal Auto,Sports Car,158.077504
Arizona,Female,Bachelor,1,463,545.16,51236,139,1/0/00,Personal Auto,SUV,667.2
Washington,Male,College,856,476.82,95697,107,1/0/00,Personal Auto,Sports Car,178.006524
California,Female,College,1,156,568.75,64642,96,1/0/00,Personal Auto,Four-Door Car,404.265696
Oregon,Female,College,277,104.50,50071,71,1/0/00,Personal Auto,Two-Door Car,18.918935
Oregon,Male,College,850,712.88,46754,106,1/1/00,Personal Auto,SUV,513.818403
California,Male,College,758,211.38,64801,64,1/0/00,Corporate Auto,Four-Door Car,268.471802
Arizona,Male,Bachelor,332,309.25,70410,83,1/0/00,Personal Auto,Four-Door Car,131.828507
Nevada,Female,College,523,433.17,66957,131,1/1/00,Personal Auto,SUV,628.8
Nevada,Female,College,2,470,959.96,24213,78,1/1/00,Personal Auto,Four-Door Car,374.4
Washington,Female,College,1,778,627.78,99790,6464,1/0/00,Personal Auto,Four-Door Car,178.986788
Oregon,Male,Master,255,122.67,79751,63,1/0/00,Personal Auto,Two-Door Car,392.235698
Arizona,Male,College,724,771.37,86122,182,1/1/00,Personal Auto,Luxury SUV,873.6
Arizona,Male,Bachelor,453,884.78,82297,116,1/0/00,Personal Auto,Sports Car,0.382107
Washington,Male,College,3,164,210.46,89057,98,1/0/00,Corporate Auto,Two-Door Car,187.363583
California,Male,College,873,042.20,43259,73,1/0/00,Personal Auto,Four-Door Car,350.4
Oregon,Male,College,833,273.06,51236,79,1/0/00,Personal Auto,Four-Door Car,379.2
California,Male,College,235,774.70,25064,62,1/0/00,Personal Auto,Four-Door Car,297.6
Arizona,Male,Master,463,716.40,25816,119,1/0/00,Personal Auto,Sports Car,571.2
California,Male,Bachelor,535,719.27,51236,73,1/0/00,Personal Auto,Four-Door Car,350.853987
Oregon,Female,College,539,197.10,41662,69,1/0/00,Corporate Auto,Four-Door Car,217.973168
Arizona,Male,Bachelor,369,414.05,96170,92,1/0/00,Personal Auto,Four-Door Car,441.6
Arizona,Female,College,504,041.24,46072,64,1/0/00,Personal Auto,Four-Door Car,25.934064
Arizona,Female,College,2,749,542.19,37931,99,1/0/00,Personal Auto,Four-Door Car,475.2
Oregon,Male,College,484,228.50,35127,62,1/0/00,Personal Auto,Four-Door Car,297.6
Washington,Female,College,2,738,281.89,45473,76,1/0/00,Special Auto,Two-Door Car,188.938397
Nevada,Female,College,522,710.19,93087,131,1/3/00,Corporate Auto,Sports Car,628.8
Arizona,Male,College,259,009.60,22398,67,1/2/00,Personal Auto,Four-Door Car,321.6
California,Male,College,1,053,607.80,92983,87,1/1/00,Corporate Auto,Four-Door Car,153.205591
Arizona,Male,Bachelor,858,127.87,27689,239,1/2/00,Personal Auto,Luxury SUV,2893.239678
California,Female,College,946,311.33,69654,118,1/0/00,Corporate Auto,SUV,629.532731
California,Female,Bachelor,1,344,100.64,80744,111,1/0/00,Personal Auto,SUV,361.284757
California,Female,Bachelor,388,650.48,51236,112,1/0/00,Corporate Auto,SUV,1185.988301
Arizona,Female,College,678,489.37,51236,64,1/1/00,Personal Auto,Four-Door Car,460.8
Arizona,Male,Bachelor,2,359,468.02,76358,66,1/0/00,Special Auto,Four-Door Car,86.461582
Oregon,Male,Bachelor,253,862.63,18608,71,1/0/00,Corporate Auto,Four-Door Car,340.8
California,Male,College,563,994.20,73168,70,1/0/00,Personal Auto,Four-Door Car,425.800112
Washington,Male,Bachelor,1,168,137.43,70930,99,1/0/00,Personal Auto,Four-Door Car,190.43446
Washington,Female,College,2,599,775.00,62262,72,1/0/00,Corporate Auto,Four-Door Car,193.505325
Nevada,Female,Master,1,377,836.93,91474,113,1/0/00,Corporate Auto,Two-Door Car,24.087774
California,Female,Bachelor,492,318.17,61469,63,1/5/00,Personal Auto,Four-Door Car,302.4
Arizona,Female,College,227,233.54,16618,62,1/0/00,Special Auto,Four-Door Car,219.288706
California,Female,Bachelor,1,489,539.80,48081,188,1/0/00,Personal Auto,Luxury SUV,881.360959
